Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Snow on Grnd (cm)
-79.4,43.67,TORONTO CITY,6158355,2023-07-10,2023,7,10,28.7,16.5,22.6,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-11,2023,7,11,30.3,18.6,24.4,1.8,
-79.4,43.67,TORONTO CITY,6158355,2023-07-12,2023,7,12,25.3,15.1,20.2,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-13,2023,7,13,25,16.9,20.9,34.1,
-79.4,43.67,TORONTO CITY,6158355,2023-07-14,2023,7,14,26.1,15.3,20.7,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-15,2023,7,15,24.4,19.8,22.1,8.8,
-79.4,43.67,TORONTO CITY,6158355,2023-07-16,2023,7,16,27.2,19.9,23.6,1.1,
-79.4,43.67,TORONTO CITY,6158355,2023-07-17,2023,7,17,27.1,19.2,23.2,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-18,2023,7,18,26.1,18,22,0.4,
-79.4,43.67,TORONTO CITY,6158355,2023-07-19,2023,7,19,25.1,16.6,20.8,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-20,2023,7,20,26.8,18.9,22.9,2.9,
-79.4,43.67,TORONTO CITY,6158355,2023-07-21,2023,7,21,26.3,18.8,22.5,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-22,2023,7,22,29,17.2,23.1,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-23,2023,7,23,27.3,17.5,22.4,1.2,
-79.4,43.67,TORONTO CITY,6158355,2023-07-24,2023,7,24,26.4,18.4,22.4,7.3,
-79.4,43.67,TORONTO CITY,6158355,2023-07-25,2023,7,25,26.5,18.7,22.6,2.5,
-79.4,43.67,TORONTO CITY,6158355,2023-07-26,2023,7,26,28.8,20.6,24.7,6.2,
-79.4,43.67,TORONTO CITY,6158355,2023-07-27,2023,7,27,30,20.8,25.4,14.3,
-79.4,43.67,TORONTO CITY,6158355,2023-07-28,2023,7,28,30,20.4,25.2,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-29,2023,7,29,25.2,16.6,20.9,12.8,
-79.4,43.67,TORONTO CITY,6158355,2023-07-30,2023,7,30,24.3,14.8,19.5,0,
-79.4,43.67,TORONTO CITY,6158355,2023-07-31,2023,7,31,25.2,15.9,20.6,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-01,2023,8,1,24,15.4,19.7,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-02,2023,8,2,24.4,16.3,20.3,0.1,
-79.4,43.67,TORONTO CITY,6158355,2023-08-03,2023,8,3,28.5,18.5,23.5,5.8,
-79.4,43.67,TORONTO CITY,6158355,2023-08-04,2023,8,4,27.5,17.8,22.6,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-05,2023,8,5,24.2,18.4,21.3,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-06,2023,8,6,24.2,16.1,20.1,3.8,
-79.4,43.67,TORONTO CITY,6158355,2023-08-07,2023,8,7,25.2,19.2,22.2,5.9,
-79.4,43.67,TORONTO CITY,6158355,2023-08-08,2023,8,8,25.3,17.5,21.4,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-09,2023,8,9,28.9,16.6,22.8,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-10,2023,8,10,25.9,19.4,22.6,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-11,2023,8,11,25.3,16,20.7,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-12,2023,8,12,29.5,19.8,24.6,1.7,
-79.4,43.67,TORONTO CITY,6158355,2023-08-13,2023,8,13,26,17.5,21.7,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-14,2023,8,14,23.9,16,20,0,
-79.4,43.67,TORONTO CITY,6158355,2023-08-15,2023,8,15,23.2,18.6,20.9,2.8,
